Side Effect Name,Side Effect,Disease Class
retinopathy of prematurity,C0035344,nervous system disease
lung edema,C0034063,respiratory system disease
peliosis,C0034150,hematopoietic system disease
allergies,C0020517,immune system disease
thrombocytopenia,C0040034,hematopoietic system disease
hyperglycaemia,C0020456,acquired metabolic disease
hypoglycaemia,C0020615,endocrine system disease
asystole,C0018790,cardiovascular system disease
cerebral infarct,C0007785,cardiovascular system disease
adynamic ileus,C0030446,gastrointestinal system disease
Acute Respiratory Distress Syndrome,C0035222,respiratory system disease
lipoma,C0023798,benign neoplasm
appendicitis,C0003615,gastrointestinal system disease
pulmonary hypertension,C0020542,cardiovascular system disease
intestinal perforation,C0021845,gastrointestinal system disease
Disorder Lung,C0024115,respiratory system disease
Bladder inflammation,C0010692,urinary system disease
patent ductus arteriosis,C0013274,cardiovascular system disease
disease of liver,C0023895,gastrointestinal system disease
eruption,C0015230,integumentary system disease
acute pancreatitis,C0001339,endocrine system disease
neumonia,C0032285,respiratory system disease
adenocarcinoma,C0001418,cancer
haemorrhoids,C0019112,cardiovascular system disease
anaemia,C0002871,hematopoietic system disease
encephalopathy,C0085584,nervous system disease
chronic obstructive airway disease,C0024117,respiratory system disease
narcolepsy,C0027404,sleep disorder
Lymphocytes decreased,C0024312,hematopoietic system disease
Breast cancer,C0678222,cancer
haemolytic anaemia,C0002878,hematopoietic system disease
gastroenteritis,C0017160,gastrointestinal system disease
optic disc edema,C0030353,nervous system disease
alopecia,C0002170,integumentary system disease
conjunctivitis,C0009763,nervous system disease
glomerulonephritis,C0017658,urinary system disease
duodenal ulcer,C0013295,gastrointestinal system disease
leucopenia,C0023530,hematopoietic system disease
bursitis,C0006444,musculoskeletal system disease
Ekbom Syndrome,C0035258,nervous system disease
nephrocalcinosis,C0027709,acquired metabolic disease
thrombotic microangiopathy,C0034155,hematopoietic system disease
aspiration pneumonia,C0032290,respiratory system disease
asthma,C0004096,respiratory system disease
Candida Infection,C0006840,fungal infectious disease
Infection Viral,C0042769,viral infectious disease
cellulitis,C0007642,integumentary system disease
allergic dermatitis,C0011615,integumentary system disease
constipated,C0009806,gastrointestinal system disease
Clotting,C0005779,hematopoietic system disease
ear discharge,C0155540,nervous system disease
Leukaemia,C0023418,cancer
myopia,C0027092,nervous system disease
Chronic Kidney Disease,C0022661,urinary system disease
Cholangitis,C0008311,gastrointestinal system disease
hypothyroid,C0020676,endocrine system disease
dermatitides,C0011603,integumentary system disease
Deafness neurosensory,C0018784,nervous system disease
fungal disease,C0026946,fungal infectious disease
amenorrhea,C0002453,reproductive system disease
Neutropenia,C0027947,hematopoietic system disease
pyoderma,C0034212,integumentary system disease
laryngeal neoplasia,C0023055,benign neoplasm
Blood disorder,C0018939,hematopoietic system disease
Arthritis infective,C0003869,musculoskeletal system disease
nasopharyngitis,C0027441,respiratory system disease
Rhinitis,C0035455,respiratory system disease
Colon Spastic,C0022104,irritable bowel syndrome
heart attack,C0027051,cardiovascular system disease
hepatic neoplasia,C0023903,cancer
dyspepsia,C0013395,gastrointestinal system disease
Embolism pulmonary,C0034065,cardiovascular system disease
biliary tract disorder,C0005424,gastrointestinal system disease
colitis ischemic,C0162529,gastrointestinal system disease
arteriosclerotic heart disease,C0010054,cardiovascular system disease
migraine,C0149931,nervous system disease
osteoporosis,C0029456,musculoskeletal system disease
High blood pressure,C0020538,cardiovascular system disease
Arthritis rheumatoid,C0003873,musculoskeletal system disease
arteriosclerosis,C0003850,cardiovascular system disease
acid reflux,C0017168,gastrointestinal system disease
fibromyalgia,C0016053,musculoskeletal system disease
herpes zoster,C0019360,viral infectious disease
Breast cyst,C0006144,benign neoplasm
osteomalacia,C0029442,musculoskeletal system disease
arthritis,C0003864,musculoskeletal system disease
abuse,C0013146,substance-related disorder
cholecystitis,C0008325,gastrointestinal system disease
acne rosacea,C0035854,integumentary system disease
gall bladder,C0016977,gastrointestinal system disease
diabetic acidosis,C0011880,acquired metabolic disease
Diabetic Retinopathy,C0011884,nervous system disease
